Month;Year;FC
1;1986;0.7168
2;1986;0.7122
3;1986;0.7241
4;1986;0.6968
5;1986;0.7101
6;1986;0.6872
7;1986;0.6871
8;1986;0.6922
9;1986;0.6874
10;1986;0.6918
11;1986;0.7104
12;1986;0.6518
1;1987;0.6624
2;1987;0.6207
3;1987;0.5788
4;1987;0.5922
5;1987;0.6192
6;1987;0.5994
7;1987;0.5917
8;1987;0.6549
9;1987;0.6258
10;1987;0.674
11;1987;0.6895
12;1987;0.6945
1;1988;0.6989
2;1988;0.6021
3;1988;0.5858
4;1988;0.634
5;1988;0.6392
6;1988;0.6508
7;1988;0.6884
8;1988;0.6808
9;1988;0.7264
10;1988;0.7315
11;1988;0.788
12;1988;0.7753
1;1989;0.7905
2;1989;0.8004
3;1989;0.7312
4;1989;0.7079
5;1989;0.737
6;1989;0.7575
7;1989;0.7415
8;1989;0.6902
9;1989;0.7099
10;1989;0.7249
11;1989;0.7756
12;1989;0.7773
1;1990;0.7664
2;1990;0.7415
3;1990;0.6924
4;1990;0.727
5;1990;0.7487
6;1990;0.7256
7;1990;0.7131
8;1990;0.7124
9;1990;0.7136
10;1990;0.7372
11;1990;0.7445
12;1990;0.671
1;1991;0.7384
2;1991;0.6978
3;1991;0.6666
4;1991;0.6728
5;1991;0.7214
6;1991;0.7068
7;1991;0.6582
8;1991;0.7012
9;1991;0.6774
10;1991;0.6742
11;1991;0.7265
12;1991;0.6409
1;1992;0.6517
2;1992;0.6516
3;1992;0.6291
4;1992;0.543
5;1992;0.6054
6;1992;0.6501
7;1992;0.666
8;1992;0.7131
9;1992;0.748
10;1992;0.7744
11;1992;0.8278
12;1992;0.7728
1;1993;0.751
2;1993;0.6828
3;1993;0.6576
4;1993;0.6811
5;1993;0.6786
6;1993;0.6802
7;1993;0.6505
8;1993;0.6714
9;1993;0.733
10;1993;0.7557
11;1993;0.7617
12;1993;0.7616
1;1994;0.724
2;1994;0.6573
3;1994;0.6664
4;1994;0.6712
5;1994;0.7422
6;1994;0.7374
7;1994;0.7129
8;1994;0.6609
9;1994;0.6551
10;1994;0.7177
11;1994;0.75
12;1994;0.7133
1;1995;0.6901
2;1995;0.6536
3;1995;0.7236
4;1995;0.7423
5;1995;0.7546
6;1995;0.7546
7;1995;0.7282
8;1995;0.7498
9;1995;0.7137
10;1995;0.7277
11;1995;0.7278
12;1995;0.7427
1;1996;0.7296
2;1996;0.7378
3;1996;0.7119
4;1996;0.7254
5;1996;0.741
6;1996;0.7287
7;1996;0.7171
8;1996;0.709
9;1996;0.6803
10;1996;0.7351
11;1996;0.7457
12;1996;0.708
1;1997;0.7425
2;1997;0.7408
3;1997;0.7104
4;1997;0.7018
5;1997;0.688
6;1997;0.6436
7;1997;0.6199
8;1997;0.5903
9;1997;0.627
10;1997;0.6566
11;1997;0.6442
12;1997;0.6735
1;1998;0.5164
2;1998;0.5163
3;1998;0.6622
4;1998;0.6615
5;1998;0.6683
6;1998;0.6509
7;1998;0.7005
