year;month;QUINCENA;FD;Labels
2022;1;1;;E16-1
2022;1;2;;E-2
2022;2;1;;F-1
2022;2;2;;F-2
2022;3;1;;M-1
2022;3;2;;M-2
2022;4;1;;A-1
2022;4;2;;A-2
2022;5;1;;M-1
2022;5;2;;M-2
2022;6;1;;Jn-1
2022;6;2;;Jn-2
2022;7;1;;Jl-1
2022;7;2;;Jl-2
2022;8;1;;A-1
2022;8;2;;A-2
2022;9;1;;S-1
2022;9;2;;S-2
2022;10;1;;O-1
2022;10;2;;O-2
2022;11;1;;N-1
2022;11;2;;N-2
2022;12;1;9.93;D-1
2022;12;2;8.91;D-2
2023;1;1;16.05;E17-1
2023;1;2;15.66;E-2
2023;2;1;4.25;F-1
2023;2;2;7.14;F-2
2023;3;1;2.4;M-1
2023;3;2;2.8;M-2
2023;4;1;;A-1
2023;4;2;;A-2
2023;5;1;;M-1
2023;5;2;;M-2
2023;6;1;;Jn-1
2023;6;2;;Jn-2
2023;7;1;;Jl-1
2023;7;2;;Jl-2
2023;8;1;;A-1
2023;8;2;;A-2
2023;9;1;;S-1
2023;9;2;;S-2
2023;10;1;;O-1
2023;10;2;;O-2
2023;11;1;;N-1
2023;11;2;;N-2
2023;12;1;;D-1
2023;12;2;;D-2
