year;month;QUINCENA;IGS;Labels
2016;1;1;5.07;E16-1
2016;1;2;4.96;E-2
2016;2;1;5.255;F-1
2016;2;2;5.04;F-2
2016;3;1;5.1;M-1
2016;3;2;5.22;M-2
2016;4;1;4.48;A-1
2016;4;2;3.42;A-2
2016;5;1;4.33;M-1
2016;5;2;4.02;M-2
2016;6;1;3.99;Jn-1
2016;6;2;6.22;Jn-2
2016;7;1;5.76;Jl-1
2016;7;2;6.18;Jl-2
2016;8;1;5.81;A-1
2016;8;2;6.53;A-2
2016;9;1;6.09;S-1
2016;9;2;5.69;S-2
2016;10;1;6.49;O-1
2016;10;2;5.39;O-2
2016;11;1;5.39;N-1
2016;11;2;5.6;N-2
2016;12;1;5.14;D-1
2016;12;2;4.96;D-2
2017;1;1;6.05;E17-1
2017;1;2;6.07;E-2
2017;2;1;4.26;F-1
2017;2;2;3.89;F-2
2017;3;1;3.19;M-1
2017;3;2;3.34;M-2
2017;4;1;;A-1
2017;4;2;;A-2
2017;5;1;;M-1
2017;5;2;;M-2
2017;6;1;;Jn-1
2017;6;2;;Jn-2
2017;7;1;;Jl-1
2017;7;2;;Jl-2
2017;8;1;;A-1
2017;8;2;;A-2
2017;9;1;;S-1
2017;9;2;;S-2
2017;10;1;;O-1
2017;10;2;;O-2
2017;11;1;;N-1
2017;11;2;;N-2
2017;12;1;;D-1
2017;12;2;;D-2
