year;month;igs;Niño;Niña
1986;1;0.81;;
1986;2;0.72;;
1986;3;0.76;;
1986;4;0.73;;
1986;5;0.86;;
1986;6;1.74;;
1986;7;4.29;;
1986;8;3.81;;
1986;9;5.62;;
1986;10;4.47;;
1986;11;3.67;;
1986;12;2.66;;
1987;1;3.13;;
1987;2;2.11;;
1987;3;1.01;;
1987;4;1.24;;
1987;5;1.59;;
1987;6;2.9;;
1987;7;4.38;;
1987;8;4.63;;
1987;9;5.4;;
1987;10;5.31;;
1987;11;5.53;;
1987;12;5.54;;
1988;1;5.19;;
1988;2;2.69;;
1988;3;1.38;;
1988;4;1.54;;
1988;5;1.22;;
1988;6;2.56;;
1988;7;4.04;;
1988;8;4.21;;
1988;9;5.39;;
1988;10;5.08;;
1988;11;4.2;;
1988;12;3.35;;
1989;1;2.65;;
1989;2;NA;;
1989;3;2.03;;
1989;4;1.17;;
1989;5;1.47;;
1989;6;1.35;;
1989;7;2.62;;
1989;8;6.1;;
1989;9;5.88;;
1989;10;5.21;;
1989;11;5.42;;
1989;12;6.39;;
1990;1;5.27;;
1990;2;5.32;;
1990;3;3.16;;
1990;4;2.55;;
1990;5;2.44;;
1990;6;3.27;;
1990;7;4.53;;
1990;8;5.95;;
1990;9;5.6;;
1990;10;5.73;;
1990;11;5.31;;
1990;12;6.19;;
1991;1;4.84;;
1991;2;4.84;;
1991;3;2.74;;
1991;4;1.41;;
1991;5;1.72;;
1991;6;2.63;;
1991;7;4.35;;
1991;8;5.29;;
1991;9;5.55;;
1991;10;4.54;;
1991;11;4.98;;
1991;12;3.74;;
1992;1;3.07;;
1992;2;NA;;
1992;3;2.17;;
1992;4;1.2;;
1992;5;1.75;;
1992;6;2.58;;
1992;7;4.41;;
1992;8;5.02;;
1992;9;5.89;;
1992;10;5.18;;
1992;11;4.07;;
1992;12;3.03;;
1993;1;2.95;;
1993;2;2.72;;
1993;3;2.34;2;
1993;4;1.56;2;
1993;5;0.85;2;
1993;6;1.75;2;
1993;7;3.89;2;
1993;8;5.28;2;
1993;9;5.13;2;
1993;10;5.14;;
1993;11;4.95;;
1993;12;4.72;;
1994;1;3.99;;
1994;2;4.43;;
1994;3;1.75;;
1994;4;1.88;;
1994;5;2.04;;
1994;6;2.6;;
1994;7;3.62;;
1994;8;4.26;;
1994;9;6.21;;
1994;10;5.2;;
1994;11;4.64;1;
1994;12;4.22;1;
1995;1;3.21;1;
1995;2;4.38;;
1995;3;4.61;;
1995;4;3.3;;
1995;5;3.28;;
1995;6;4.26;;
1995;7;5.55;;
1995;8;5.8;;
1995;9;6.67;;
1995;10;5.16;;
1995;11;4.85;;
1995;12;5.39;;
1996;1;4.69;;
1996;2;6.12;;
1996;3;4.7;;
1996;4;2.95;;2
1996;5;2.51;;2
1996;6;3.6;;2
1996;7;5.62;;2
