"","x"
"1",-0.0521
"2",-0.0253
"3",-0.0606
"4",-0.1455
"5",-0.1009
"6",-0.0505
"7",-0.0253
"8",0.0257
"9",0.0476
"10",0.0449
"11",0.0851
"12",0.0321
"13",0.0472
"14",0.0059
"15",-0.0321
"16",-0.0074
"17",-0.0277
"18",-0.0204
"19",-0.0408
"20",-0.016
"21",0.0326
"22",0.0262
"23",0.019
"24",0.0209
"25",0.0202
"26",-0.0196
"27",-0.0233
"28",-0.0173
"29",0.0359
"30",0.0368
"31",0.0216
"32",-0.0265
"33",-0.0453
"34",-0.0118
"35",0.0073
"36",-0.0274
"37",-0.0137
"38",-0.0233
"39",0.0339
"40",0.0538
"41",0.0483
"42",0.054
"43",0.0369
"44",0.0624
"45",0.0133
"46",-0.0018
"47",-0.0149
"48",0.002
"49",0.0258
"50",0.0609
"51",0.0222
"52",0.0369
"53",0.0347
"54",0.0281
"55",0.0258
"56",0.0216
"57",-0.0201
"58",0.0056
"59",0.003
"60",-0.0327
"61",0.0387
"62",0.0639
"63",0.0207
"64",0.0133
"65",-0.0183
"66",-0.057
"67",-0.0714
"68",-0.0971
"69",-0.0734
"70",-0.0729
"71",-0.0985
"72",-0.0672
"73",-0.1874
"74",-0.1606
"75",-0.0275
"76",-0.027
"77",-0.038
"78",-0.0497
"79",0.0092
"80",-0.0049
"81",-0.0045
"82",0.0464
"83",0.0225
"84",0.0352
"85",0.0621
"86",0.0818
"87",0.0548
"88",0.0808
"89",0.0649
"90",0.0606
"91",0.0248
"92",0.052
"93",0.0512
"94",-0.0071
"95",-0.0079
"96",0.0372
"97",0.059
"98",0.016
"99",0.0118
"100",0.0128
"101",8e-04
"102",-0.002
"103",0.0194
"104",-0.017
"105",-0.0012
"106",-0.0293
"107",-0.0157
"108",2e-04
"109",0.039
"110",0.038
"111",0.0018
"112",-0.0125
"113",-0.0037
"114",0.0037
"115",0.0244
"116",0.0253
"117",-0.0135
"118",-0.0269
"119",-0.0189
"120",-0.0145
"121",-0.0023
"122",-0.0013
"123",-0.037
"124",-0.0326
