"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"2022,1,1,0.65859,E22-1,2022",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2022,1,2,,E-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022,10,1,0.60627,O-1,O",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2022,10,2,0.62544,O-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022,11,1,0.63952,N-1,N",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2022,11,2,0.61521,N-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022,12,1,0.61954,D-1,D",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2022,12,2,0.59611,D-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022,2,1,0.62291,F-1,F",-0.0226,NA,-0.0344,-0.0575,-0.0316,-0.0611,-0.0659,-0.0382,-0.0771,-0.011,-0.033,0.002,-0.0063,-0.0483,-0.0147,-0.0207,-0.0536,-0.0704,-0.0445,-0.0253,-0.0315,-0.0559,-0.0616,-0.0851
"2022,2,2,0.59978,F-2,",-0.0916,-0.079,-0.0559,-0.1388,-0.0712,-0.0701,-0.0574,-0.0565,-0.0574,-0.054,-0.0232,-0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
